Entry	Entry name	Status	Protein names	Gene names	Organism	Length	yourlist:M2017100483C3DD8CE55183C76102DC5D3A26728BEC41F24
P0A854	TNAA_SHIFL	reviewed	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	tnaA ind SF3754 S4017	Shigella flexneri	471	P00913
P0A853	TNAA_ECOLI	reviewed	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	tnaA ind b3708 JW3686	Escherichia coli (strain K12)	471	P00913
P0A9F4	CYSB_ECOL6	reviewed	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB c1742	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	324	P06613
P0A9F5	CYSB_ECO57	reviewed	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB Z2535 ECs1847	Escherichia coli O157:H7	324	P06613
P0A9F3	CYSB_ECOLI	reviewed	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB b1275 JW1267	Escherichia coli (strain K12)	324	P06613
P0ABK4	CYDB_ECO57	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB Z0901 ECs0769	Escherichia coli O157:H7	379	P11027
P0ABK2	CYDB_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB cyd-2 b0734 JW0723	Escherichia coli (strain K12)	379	P11027
P0ABK3	CYDB_ECOL6	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB c0812	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	379	P11027
P0A9E1	ARAC_ECO57	reviewed	Arabinose operon regulatory protein	araC Z0073 ECs0068	Escherichia coli O157:H7	292	P03021
P0A9E0	ARAC_ECOLI	reviewed	Arabinose operon regulatory protein	araC b0064 JW0063	Escherichia coli (strain K12)	292	P03021
